Station Code,Station,Date,cbwd
108,서울,2020-01-01,50
108,서울,2020-01-02,50
108,서울,2020-01-03,290
108,서울,2020-01-04,50
108,서울,2020-01-05,50
108,서울,2020-01-06,70
108,서울,2020-01-07,70
108,서울,2020-01-08,270
108,서울,2020-01-09,290
108,서울,2020-01-10,290
108,서울,2020-01-11,290
108,서울,2020-01-12,290
108,서울,2020-01-13,290
108,서울,2020-01-14,290
108,서울,2020-01-15,270
108,서울,2020-01-16,320
108,서울,2020-01-17,290
108,서울,2020-01-18,270
108,서울,2020-01-19,270
108,서울,2020-01-20,270
108,서울,2020-01-21,320
108,서울,2020-01-22,50
108,서울,2020-01-23,290
108,서울,2020-01-24,290
108,서울,2020-01-25,290
108,서울,2020-01-26,70
108,서울,2020-01-27,70
108,서울,2020-01-28,50
108,서울,2020-01-29,70
108,서울,2020-01-30,70
108,서울,2020-01-31,270
108,서울,2020-02-01,290
108,서울,2020-02-02,290
108,서울,2020-02-03,270
108,서울,2020-02-04,320
108,서울,2020-02-05,320
108,서울,2020-02-06,290
108,서울,2020-02-07,290
108,서울,2020-02-08,320
108,서울,2020-02-09,270
108,서울,2020-02-10,290
108,서울,2020-02-11,50
108,서울,2020-02-12,70
108,서울,2020-02-13,290
108,서울,2020-02-14,290
108,서울,2020-02-15,70
108,서울,2020-02-16,270
108,서울,2020-02-17,320
108,서울,2020-02-18,290
108,서울,2020-02-19,50
108,서울,2020-02-20,50
108,서울,2020-02-21,200
108,서울,2020-02-22,270
108,서울,2020-02-23,270
108,서울,2020-02-24,50
108,서울,2020-02-25,70
108,서울,2020-02-26,50
108,서울,2020-02-27,70
108,서울,2020-02-28,50
108,서울,2020-02-29,50
108,서울,2020-03-01,270
108,서울,2020-03-02,290
108,서울,2020-03-03,70
108,서울,2020-03-04,270
108,서울,2020-03-05,270
108,서울,2020-03-06,50
108,서울,2020-03-07,70
108,서울,2020-03-08,290
108,서울,2020-03-09,320
108,서울,2020-03-10,290
108,서울,2020-03-11,270
108,서울,2020-03-12,250
108,서울,2020-03-13,320
108,서울,2020-03-14,250
108,서울,2020-03-15,320
108,서울,2020-03-16,250
108,서울,2020-03-17,230
108,서울,2020-03-18,250
108,서울,2020-03-19,270
108,서울,2020-03-20,200
108,서울,2020-03-21,180
108,서울,2020-03-22,290
108,서울,2020-03-23,270
108,서울,2020-03-24,270
108,서울,2020-03-25,290
108,서울,2020-03-26,70
108,서울,2020-03-27,290
108,서울,2020-03-28,360
108,서울,2020-03-29,290
108,서울,2020-03-30,270
108,서울,2020-03-31,270
108,서울,2020-04-01,290
108,서울,2020-04-02,250
108,서울,2020-04-03,270
108,서울,2020-04-04,290
108,서울,2020-04-05,270
108,서울,2020-04-06,290
108,서울,2020-04-07,270
108,서울,2020-04-08,290
108,서울,2020-04-09,270
108,서울,2020-04-10,290
108,서울,2020-04-11,290
108,서울,2020-04-12,90
108,서울,2020-04-13,70
108,서울,2020-04-14,290
108,서울,2020-04-15,290
108,서울,2020-04-16,90
108,서울,2020-04-17,110
108,서울,2020-04-18,320
108,서울,2020-04-19,90
108,서울,2020-04-20,250
108,서울,2020-04-21,290
108,서울,2020-04-22,290
108,서울,2020-04-23,290
108,서울,2020-04-24,270
108,서울,2020-04-25,250
108,서울,2020-04-26,290
108,서울,2020-04-27,320
108,서울,2020-04-28,250
108,서울,2020-04-29,290
108,서울,2020-04-30,250
108,서울,2020-05-01,270
108,서울,2020-05-02,290
108,서울,2020-05-03,90
108,서울,2020-05-04,290
108,서울,2020-05-05,290
108,서울,2020-05-06,70
108,서울,2020-05-07,90
108,서울,2020-05-08,160
108,서울,2020-05-09,90
108,서울,2020-05-10,250
108,서울,2020-05-11,250
108,서울,2020-05-12,250
108,서울,2020-05-13,270
108,서울,2020-05-14,90
108,서울,2020-05-15,90
108,서울,2020-05-16,290
108,서울,2020-05-17,320
108,서울,2020-05-18,140
108,서울,2020-05-19,50
108,서울,2020-05-20,90
108,서울,2020-05-21,90
108,서울,2020-05-22,290
108,서울,2020-05-23,290
108,서울,2020-05-24,230
108,서울,2020-05-25,320
108,서울,2020-05-26,290
108,서울,2020-05-27,320
108,서울,2020-05-28,320
108,서울,2020-05-29,290
108,서울,2020-05-30,290
108,서울,2020-05-31,320
108,서울,2020-06-01,290
108,서울,2020-06-02,290
108,서울,2020-06-03,290
108,서울,2020-06-04,250
108,서울,2020-06-05,290
108,서울,2020-06-06,290
108,서울,2020-06-07,290
108,서울,2020-06-08,290
108,서울,2020-06-09,320
108,서울,2020-06-10,290
108,서울,2020-06-11,290
108,서울,2020-06-12,290
108,서울,2020-06-13,290
108,서울,2020-06-14,270
108,서울,2020-06-15,270
108,서울,2020-06-16,290
108,서울,2020-06-17,290
108,서울,2020-06-18,320
108,서울,2020-06-19,70
108,서울,2020-06-20,290
108,서울,2020-06-21,320
108,서울,2020-06-22,290
108,서울,2020-06-23,270
108,서울,2020-06-24,50
108,서울,2020-06-25,180
108,서울,2020-06-26,230
108,서울,2020-06-27,250
108,서울,2020-06-28,270
108,서울,2020-06-29,50
108,서울,2020-06-30,320
108,서울,2020-07-01,270
108,서울,2020-07-02,110
108,서울,2020-07-03,50
108,서울,2020-07-04,270
108,서울,2020-07-05,250
108,서울,2020-07-06,270
108,서울,2020-07-07,270
108,서울,2020-07-08,270
108,서울,2020-07-09,110
108,서울,2020-07-10,50
108,서울,2020-07-11,50
108,서울,2020-07-12,70
108,서울,2020-07-13,70
108,서울,2020-07-14,50
108,서울,2020-07-15,50
108,서울,2020-07-16,270
108,서울,2020-07-17,250
108,서울,2020-07-18,270
108,서울,2020-07-19,50
108,서울,2020-07-20,200
108,서울,2020-07-21,270
108,서울,2020-07-22,50
108,서울,2020-07-23,50
108,서울,2020-07-24,50
108,서울,2020-07-25,50
108,서울,2020-07-26,50
108,서울,2020-07-27,50
108,서울,2020-07-28,50
108,서울,2020-07-29,50
108,서울,2020-07-30,230
108,서울,2020-07-31,250
108,서울,2020-08-01,230
108,서울,2020-08-02,180
108,서울,2020-08-03,200
108,서울,2020-08-04,200
108,서울,2020-08-05,50
108,서울,2020-08-06,200
108,서울,2020-08-07,50
108,서울,2020-08-08,70
108,서울,2020-08-09,200
108,서울,2020-08-10,200
108,서울,2020-08-11,200
108,서울,2020-08-12,50
108,서울,2020-08-13,200
108,서울,2020-08-14,200
108,서울,2020-08-15,200
108,서울,2020-08-16,200
108,서울,2020-08-17,200
108,서울,2020-08-18,270
108,서울,2020-08-19,270
108,서울,2020-08-20,250
108,서울,2020-08-21,50
108,서울,2020-08-22,50
108,서울,2020-08-23,270
108,서울,2020-08-24,50
108,서울,2020-08-25,200
108,서울,2020-08-26,70
108,서울,2020-08-27,110
108,서울,2020-08-28,270
108,서울,2020-08-29,50
108,서울,2020-08-30,200
108,서울,2020-08-31,50
108,서울,2020-09-01,110
108,서울,2020-09-02,50
108,서울,2020-09-03,200
108,서울,2020-09-04,200
108,서울,2020-09-05,50
108,서울,2020-09-06,50
108,서울,2020-09-07,50
108,서울,2020-09-08,230
108,서울,2020-09-09,180
108,서울,2020-09-10,50
108,서울,2020-09-11,50
108,서울,2020-09-12,50
108,서울,2020-09-13,50
108,서울,2020-09-14,270
108,서울,2020-09-15,50
108,서울,2020-09-16,180
108,서울,2020-09-17,270
108,서울,2020-09-18,250
108,서울,2020-09-19,250
108,서울,2020-09-20,290
108,서울,2020-09-21,50
108,서울,2020-09-22,50
108,서울,2020-09-23,50
108,서울,2020-09-24,50
108,서울,2020-09-25,50
108,서울,2020-09-26,50
108,서울,2020-09-27,50
108,서울,2020-09-28,50
108,서울,2020-09-29,290
108,서울,2020-09-30,20
108,서울,2020-10-01,50
108,서울,2020-10-02,180
108,서울,2020-10-03,270
108,서울,2020-10-04,270
108,서울,2020-10-05,270
108,서울,2020-10-06,290
108,서울,2020-10-07,50
108,서울,2020-10-08,50
108,서울,2020-10-09,70
108,서울,2020-10-10,70
108,서울,2020-10-11,50
108,서울,2020-10-12,250
108,서울,2020-10-13,270
108,서울,2020-10-14,290
108,서울,2020-10-15,50
108,서울,2020-10-16,50
108,서울,2020-10-17,270
108,서울,2020-10-18,20
108,서울,2020-10-19,20
108,서울,2020-10-20,20
108,서울,2020-10-21,50
108,서울,2020-10-22,50
108,서울,2020-10-23,270
108,서울,2020-10-24,270
108,서울,2020-10-25,20
108,서울,2020-10-26,20
108,서울,2020-10-27,270
108,서울,2020-10-28,270
108,서울,2020-10-29,270
108,서울,2020-10-30,50
108,서울,2020-10-31,200
108,서울,2020-11-01,200
108,서울,2020-11-02,270
108,서울,2020-11-03,270
108,서울,2020-11-04,270
108,서울,2020-11-05,50
108,서울,2020-11-06,50
108,서울,2020-11-07,230
108,서울,2020-11-08,270
108,서울,2020-11-09,270
108,서울,2020-11-10,270
108,서울,2020-11-11,50
108,서울,2020-11-12,20
108,서울,2020-11-13,20
108,서울,2020-11-14,50
108,서울,2020-11-15,20
108,서울,2020-11-16,50
108,서울,2020-11-17,70
108,서울,2020-11-18,50
108,서울,2020-11-19,270
108,서울,2020-11-20,290
108,서울,2020-11-21,50
108,서울,2020-11-22,270
108,서울,2020-11-23,290
108,서울,2020-11-24,20
108,서울,2020-11-25,270
108,서울,2020-11-26,270
108,서울,2020-11-27,270
108,서울,2020-11-28,290
108,서울,2020-11-29,270
108,서울,2020-11-30,270
108,서울,2020-12-01,290
108,서울,2020-12-02,270
108,서울,2020-12-03,290
108,서울,2020-12-04,290
108,서울,2020-12-05,20
108,서울,2020-12-06,50
108,서울,2020-12-07,270
108,서울,2020-12-08,320
108,서울,2020-12-09,50
108,서울,2020-12-10,50
108,서울,2020-12-11,270
108,서울,2020-12-12,270
108,서울,2020-12-13,270
108,서울,2020-12-14,290
108,서울,2020-12-15,290
108,서울,2020-12-16,290
108,서울,2020-12-17,20
108,서울,2020-12-18,50
108,서울,2020-12-19,270
108,서울,2020-12-20,270
108,서울,2020-12-21,20
108,서울,2020-12-22,20
108,서울,2020-12-23,50
108,서울,2020-12-24,270
108,서울,2020-12-25,250
108,서울,2020-12-26,20
108,서울,2020-12-27,70
108,서울,2020-12-28,50
108,서울,2020-12-29,270
108,서울,2020-12-30,270
108,서울,2020-12-31,270
